NOMBRE,latitude,longitude,size,start_time,set
ANDES SOLAR,-24.00128593601648,-68.57214924473493,21.8,2016-05-28,subset_1
BELLAVISTA,-31.666267724658603,-71.2209422807212,3.0,2017-03-27,all
CARRERA PINTO ETAPA I,-27.004236312050576,-69.86703741596286,20.0,2016-05-03,all
CHANARES,-26.37305845667075,-70.08012924543272,36.0,2017-03-31,all
CONEJO SOLAR,-25.504103214818848,-70.16290331279363,104.0,2014-04-30,all
CORDILLERILLA,-35.162701121914736,-71.13231983039353,1.33,2016-12-01,all
EL DIVISADERO,-30.84574463612748,-71.12747300362041,3.0,2017-06-01,all
FV BOLERO,-23.469732345910717,-69.4092668384304,138.2,2015-06-02,all
LA CHAPEANA,-30.516495772621425,-71.11216859085769,2.93,2017-12-22,subset_1
LA QUINTA SOLAR,-33.02892180966372,-70.71170621398427,3.0,2017-12-21,subset_1
LALACKAMA,-25.11922780875892,-70.30305476904388,55.0,2015-08-31,subset_1
LALACKAMA 2,-25.108892180599042,-70.3098771261934,16.5,2016-10-19,subset_1
LAS ARAUCARIAS,-33.346030493802346,-70.71164363102078,0.14,2016-10-26,subset_1
LAS MOLLACAS,-30.676327020803715,-71.22556442116492,2.93,2016-06-09,subset_2
LAS TURCAS,-33.80384200019708,-71.28206087325913,3.0,2017-11-08,all
LOS PUQUIOS,-20.43731135992093,-69.54557122623596,3.0,2014-03-28,all
LUNA DEL NORTE,-30.04019204427689,-70.6800057833393,2.96,2016-03-01,subset_2
LUZ DEL NORTE,-27.02624758083979,-69.89286185552396,141.0,2016-02-24,all
MARIA ELENA FV,-22.22040387183703,-69.5766344183413,68.0,2015-01-21,subset_1
PAMPA SOLAR NORTE,-25.532951526700312,-70.17987069906145,69.3,2017-01-08,all
PARQUE SOLAR CUZ CUZ,-31.663066118882355,-71.21522447331016,3.0,2017-09-13,all
PARQUE SOLAR FINIS TERRAE,-22.344641621524453,-69.52243069490703,138.0,2017-03-08,all
PARQUE SOLAR PAMPA CAMARONES,-18.885783253833214,-70.11257572934004,6.24,2015-11-04,all
PFV LAGUNILLA,-30.50755134471012,-71.11190223113348,3.0,2016-02-05,all
PFV LOS LOROS,-27.851377521426873,-70.16848334593641,46.0,2015-08-11,all
PILOTO SOLAR CARDONES,-27.593460204973052,-70.44038661537785,0.4,2017-02-21,subset_1
PLANTA PV CERRO DOMINADOR,-22.792958798963515,-69.45973255328859,99.05,2017-09-01,all
PMGD PICA PILOT,-20.499212689325528,-69.44901657247122,0.63,2018-01-31,all
PUERTO SECO SOLAR,-22.44992044123981,-68.87011641506636,9.0,2017-05-12,subset_1
PV SALVADOR,-26.31068278854064,-69.86555886871851,68.0,2016-09-08,all
QUILAPILUN,-33.10369502043314,-70.68793057452001,103.02,2013-06-10,all
SAN FRANCISCO SOLAR,-33.040095755637076,-70.7038165922668,3.0,2017-12-21,subset_1
SANTA JULIA,-32.30107070579904,-71.10394527952259,3.0,2016-10-04,subset_1
SDGX01,-30.22716285326961,-71.09248138263987,1.28,2013-12-20,all
SOL DEL NORTE,-30.040063522029943,-70.68370578967495,2.96,2016-08-12,subset_2
SOLAR ANTAY,-27.49428218567246,-70.38048721921737,9.0,2015-05-19,all
SOLAR CHUCHINI,-31.746817157656,-71.07885447471641,2.88,2016-08-10,subset_1
SOLAR DIEGO DE ALMAGRO,-26.378934176348753,-70.02006237669094,28.05,2014-12-11,all
SOLAR EL AGUILA I,-18.445460813209944,-69.88672006062403,2.0,2017-10-19,all
SOLAR EL ROMERO,-29.109486537312986,-70.90792703901505,196.0,2017-03-03,all
SOLAR ESPERANZA,-26.293375930899142,-69.62753306867407,2.88,2012-12-06,all
SOLAR HORMIGA,-32.716038936193534,-70.72022302466212,2.54,2017-11-09,all
SOLAR JAMA 1,-22.586050557789484,-68.6994115013005,32.1,2015-04-14,subset_1
SOLAR JAMA 2,-22.586050557789484,-68.6994115013005,22.47,2016-01-21,subset_1
SOLAR JAVIERA,-26.303738697052413,-70.22074430348589,69.02,2015-07-07,all
SOLAR LA SILLA,-29.21136975567009,-70.74372681020719,1.53,2016-03-17,all
SOLAR LAS TERRAZAS,-27.628541511749305,-70.34079933182116,3.0,2013-12-15,all
SOLAR LLANO DE LLAMPOS,-27.11746062080248,-70.17114340114,101.02,2014-04-30,all
SOLAR PSF LOMAS COLORADAS,-31.18638247016862,-71.02254980543262,2.0,2014-06-19,subset_2
SOLAR SAN ANDRES,-27.25422451929337,-70.11122075294013,50.6,2016-08-17,all
SOLAR SANTA CECILIA,-29.117177584831452,-70.91339171901228,2.96,2014-06-19,subset_2
SOLAR TECHOS ALTAMIRA,-33.47910698824769,-70.5380130488481,0.15,2013-08-08,all
SPS LA HUAYCA,-20.45456065243675,-69.5340123582445,25.05,2017-03-09,subset_2
TAMBO REAL,-30.04852768413439,-70.77018754220045,2.94,2014-08-28,all
TILTIL SOLAR,-32.95754991838944,-70.81996840188637,3.0,2016-10-27,subset_1
URIBE SOLAR,-23.561781195428306,-70.21660501766533,52.8,2017-11-03,subset_1
VALLE DE LA LUNA II,-33.27176331189424,-70.87008043730904,3.0,2017-10-11,subset_1
